
[asn.txt]                                        2008-12-14 03:45:01Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.  
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates 
on this information please contact the ARIN Registration Services Hostmaster 
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 58                      DREA-AS                                            KDR-ARIN (Tech)
 59                      WISC-MADISON-AS                                    NOC212-ARIN (Tech)
 60                      DARPA-BFLY                                         RPD2-ARIN (Tech)
 61                      DEC-MARLBORO-AS                                    JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 62                      TEKVAXC                                            TE16-ARIN (Tech), JBO30-ARIN (Tech)
 63                      LL-MI                                              ZM44-ARIN (Tech)
 64                      MITRE-AS-2                                         RS1914-ARIN (Tech)
 65                      LOGNET-AS                                          JRA18-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 66                      ETL-AI                                             MMM3-ARIN (Tech), BETHA2-ARIN (Tech)
 67                      SDC-PRC-AS                                         JS1325-ARIN (Tech), UNISY-ARIN (Tech)
 68                      LANL-INET-AS                                       PCW-ARIN (Tech), REPOR-ARIN (Abuse), PGR1-ARIN (Tech)
 69                      WHARTON-AS                                         HK2-ARIN (Tech), ISO-ARIN (Abuse), MW274-ARIN (Tech)
 70                      NLM-GW                                             JA1-ARIN (Tech), NAC15-ARIN (Abuse)
 71                      HP-INTERNET-AS                                     AI2-ORG-ARIN (Tech), HH15-ORG-ARIN (Tech)
 72                      SCHLUMBERGER-AS                                    SISO-ARIN (Abuse), ZS104-ARIN (Tech)
 73                      WASHINGTON-AS                                      UW-NOC-ARIN (Tech), UWSO-ARIN (Abuse), OWU2-ARIN (Tech)
 74                      XDRENET-AS                                         JS161-ARIN (Tech)
 75                      ANL-AS                                             ANA3-ORG-ARIN (Tech), ABUSE482-ARIN (Abuse), LW26-ARIN (Tech)
 76                      SDC-CAM-AS                                         JS1325-ARIN (Tech), UNISY-ARIN (Tech)
 77                      JHUAPL-AS                                          ZJ20-ARIN (Tech)
 78                      SYNTEGRA                                           RET9-ARIN (Tech)
 79                      DSPO-HC-AS                                         BT5-ARIN (Tech), REPOR-ARIN (Abuse), PCW-ARIN (Tech), PGR1-ARIN (Tech)
 80                      GE-CRD                                             GET2-ORG-ARIN (Tech)
 81                      NCREN                                              NH34-ORG-ARIN (Tech)
 82                      TWG-DEMO-AS                                        
 83                      PICANET-AS                                         BETHA2-ARIN (Tech)
 84                      DTNSRDC-AS1                                        RWT2-ARIN (Tech)
 85                      AERO-NET                                           LCN-ARIN (Tech)
 86                      CSC-300-AS86                                       GJH3-ARIN (Tech)
 87                      INDIANA-AS                                         BS69-ARIN (Tech), INDIA-ARIN (Abuse)
 88                      PRINCETON-AS                                       PAO3-ARIN (Tech), ABUSE16-ARIN (Abuse)
 89                      NUSC-CSTLNET-AS                                    MP20-ARIN (Tech), ROBER41-ARIN (Tech)
 90                      SUN-AS                                             IS189-ARIN (Tech)
 91                      RPI-AS                                             LABST-ARIN (Abuse), JCH239-ARIN (Tech)
 92                      CLARKSON-AS                                        JOSHU3-ARIN (Tech)
 93                      NTTA-93                                            VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 94                      BELVOIR-NET                                        BETHA2-ARIN (Tech)
 95                      NUSCLSB1                                           RPP-ARIN (Tech)
 96                      JTELS-BEN1-AS                                      BETHA2-ARIN (Tech)
 97                      NTTA-97                                            VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 98                      ROCKEFELLER-AS                                     MK38-ARIN (Tech), EDA36-ARIN (Tech)
 99                      INTEL-IWARP                                        ICE-ARIN (Tech)
 100                     FMC-CTC                                            WW82-ARIN (Tech)
 101                     WASH-NSF-AS                                        UW-NOC-ARIN (Tech), UWSO-ARIN (Abuse), OWU2-ARIN (Tech)
 102                     NSF-HQ-AS                                          FW17-ARIN (Tech)
 103                     NWU-AS                                             NUNS-ARIN (Abuse), NUNA-ARIN (Tech)
 104                     COLORADO-AS                                        DCMW-ARIN (Tech)
 105                     MOT-MCD-AS                                         DP7-ARIN (Tech)
 106                     GDAIS-ASN-106                                      MCC10-ARIN (Tech)
 107                     ECSNET-AS                                          JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 108                     XEROX-AS                                           DCS-ARIN (Tech)
 109                     CISCOSYSTEMS                                       MRK4-ARIN (Tech), DN5-ORG-ARIN (Tech)
 110                     XAIT-AS                                            AL6-ARIN (Tech)
 111                     BOSTONU-AS                                         VLC-ORG-ARIN (Tech), IRT1-ARIN (Abuse), NOC318-ARIN (Tech)
 112                     ROOTSERV                                           PV15-ARIN (Tech), RAD84-ARIN (Abuse), RSTOA-ARIN (Tech)
 113                     SCCNET-AS                                          MJO4-ARIN (Tech)
 114                     NTTA-114                                           VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 115                     PBAS-BEN2-GW-AS                                    WRR2-ARIN (Tech)
 116                     TELCORDIA                                          DW648-ARIN (Tech)
 117                     ALBM-NET-AS                                        DV42-ARIN (Tech)
 118                     NSWSES-NAVY-AS                                     DD41-ARIN (Tech)
 119                     AMS-AS                                             NK19-ARIN (Tech), TVA27-ARIN (Tech)
 120                     MITRE-OMAHA                                        RS1914-ARIN (Abuse)
 121                     IH-POE-AS                                          LK27-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 122                     U-PGH-NET-AS                                       MS222-ARIN (Tech)
 123                     LOGAIRCOMNET-AS                                    JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 124                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 125                     HI-NET-AS                                          CV136-ARIN (Tech), ABUSE106-ARIN (Abuse)
 126                     MINSY-POE-AS                                       CV14-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 127                     JPL-AS                                             JAW16-ARIN (Tech)
 128                     ADS-AS                                             PD5-ARIN (Tech), INTER36-ARIN (Tech)
 129                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 130                     CSOCNET-AS                                         
 131                     UCSB-NET-AS                                        KS1217-ARIN (Tech)
 132                     WPAFB-CSD-NET-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 133                     AFIT-AS                                            JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 134                     CORONA-GW-AS                                       LM35-ARIN (Tech)
 135                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 136                     ECONET-AS                                          JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 137                     RIPE-ASNBLOCK-137                                  
 138                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 139                     NUWESNET-AS                                        RM125-ARIN (Tech), RRW7-ARIN (Tech)
 140                     DAITC-NET-AS                                       JFH5-ARIN (Tech)
 141                     NWCNET-AS                                          DRB43-ARIN (Tech), LS529-ARIN (Tech)
 142                     WESTPOINT                                          GH178-ARIN (Tech)
 143                     OOG1-AS                                            JD86-ARIN (Tech)
 144                     ATT-INTERNET                                       DP1272-ARIN (Tech)
 145                     VBNS                                               RB1412-ARIN (Tech), ABUSE3-ARIN (Abuse), SWIPP-ARIN (Tech)
 146                     HQEIS-AS                                           MIL-HSTMST-ARIN (Tech)
 147                     NAVCAMS-LAN-AS                                     JM246-ARIN (Tech)
 148                     NWSC-GW-AS                                         GS24-ARIN (Tech), SWW4-ARIN (Tech)
 149                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 150                     SEANET-AS                                          DRB43-ARIN (Tech), LS529-ARIN (Tech)
 151                     IND-NTC-AS                                         AI2-ORG-ARIN (Tech), HH15-ORG-ARIN (Tech)
 152                     SRI-ACCATT-AS                                      RDQ-ARIN (Tech)
 153                     SAAD-ARPA-AS                                       DRM24-ARIN (Tech)
 154                     USACEC-NET-AS                                      DEA-ARIN (Tech)
 155                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 156                     NORTHEASTERN-GW-AS                                 BW364-ARIN (Tech), NETOP29-ARIN (Tech)
 157                     INTELLIAUTON                                       MV66-ARIN (Tech)
 158                     ERI-AS                                             ERICS3-ARIN (Tech)
 159                     SONNET-AS                                          GS1050-ARIN (Tech)
 160                     U-CHICAGO-AS                                       RJR21-ARIN (Tech), NSC26-ARIN (Abuse), DOMAI99-ARIN (Tech)
 161                     TI-AS                                              DF71-ARIN (Tech)
 162                     NIOCU132NIPR                                       MIL-HSTMST-ARIN (Tech)
 163                     IBM-RESEARCH-AS                                    TR783-ARIN (Tech)
 164                     DDN-MB-AS                                          JCP34-ARIN (Tech)
 165                     NESEA-DDN-GW-AS                                    MIL-HSTMST-ARIN (Tech)
 166                     IDA-AS                                             MM227-ARIN (Tech)
 167                     WESLEYAN-AS                                        DW485-ARIN (Tech)
 168                     UMASS-AMHERST                                      ONS2-ARIN (Abuse), ZU64-ARIN (Tech)
 169                     HANSCOM-NET-AS                                     DD63-ARIN (Tech)
 170                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 172                     CSDA-AS                                            LJC2-ARIN (Tech)
 173                     APNIC-173                                          AWC12-ARIN (Tech)
 174                     COGENT-PSI-1                                       COGEN-ARIN (Abuse), IPALL-ARIN (Tech)
 175                     AFWL-AS                                            JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 176                     BCN-AS                                             RF50-ARIN (Tech)
 177                     MERIT-AS                                           AA179-ARIN (Tech)
 178                     IBMYORKTOWN-AS                                     ZM8-ARIN (Tech), NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 179                     IBMMILFORD-AS                                      AA179-ARIN (Tech)
 180                     MCIRESTON-AS                                       AA179-ARIN (Tech)
 181                     MERIT-AS-1                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 182                     MERIT-AS-2                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 183                     MERIT-AS-3                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 184                     MERIT-AS-4                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 185                     MERIT-AS-5                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 186                     CUA-AS                                             ECM6-ARIN (Tech), DPF7-ARIN (Tech)
 188                     SAIC-AS                                            SDF5-ARIN (Tech), MVB2-ARIN (Tech)
 189                     LVLT-189                                           APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 190                     NSYPTSMH-POE-AS                                    DRB43-ARIN (Tech), LS529-ARIN (Tech)
 191                     NORDA-AS                                           MFS-ARIN (Tech)
 192                     ROCHINSTTECH                                       ABUSE87-ARIN (Abuse), NETWO58-ARIN (Tech)
 193                     FORD-ASN                                           LMN-ORG-ARIN (Tech)
 194                     NCAR-AS                                            PS24-ARIN (Tech)
 195                     SDSC-AS                                            TH60-ARIN (Tech), SDSCH-ARIN (Abuse)
 196                     RISC-SYSTEM                                        CH974-ARIN (Tech)
 197                     RAYTHEON-AS-2                                      ZR46-ARIN (Tech)
 198                     ARL-SNI-AS                                         HMK1-ARIN (Tech)
 199-203                 LVLT-199-203                                       APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 204                     PSCNET-AS                                          PN-ORG-ARIN (Tech)
 205                     MONTCLAIR-AS                                       MG564-ARIN (Tech)
 206                     CSC-IGN-AMER                                       CC1391-ARIN (Tech), BM1480-ARIN (Tech)
 207                     CLI-GW-AS                                          WAH11-ARIN (Tech)
 208                     LBNS-POE-AS                                        GC104-ARIN (Tech)
 209                     ASN-QWEST                                          QIA2-ARIN (Abuse), QIA-ARIN (Tech)
 210                     WEST-NET-WEST                                      MC2185-ARIN (Tech), SECUR18-ARIN (Abuse), NOC2010-ARIN (Tech)
 211                     RADC-LONS-GW-AS                                    SWR3-ARIN (Tech)
 212                     HQAFSC-LONS-GW-AS                                  SWR3-ARIN (Tech)
 213                     APGEA-NET1-AS                                      REA3-ARIN (Tech), BETHA2-ARIN (Tech)
 214                     USNA-AS                                            DRB43-ARIN (Tech), LS529-ARIN (Tech)
 215                     RIA-2-AUTO-AS                                      TC72-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 216                     LMSC-HOSTNET-AS                                    JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 217                     UMN-AGS-NET-AS                                     TP63-ARIN (Tech)
 218                     AFOTECPCNET-AS                                     JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 219                     PUGET-POE-AS                                       GC104-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 220                     OOALC-HOSTNET-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 221                     WRALC-HOSTNET-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 222                     SMALC-HOSTNET-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 223                     TISW-AS                                            NETSE-ARIN (Tech)
 224                     RIPE-ASNBLOCK-224                                  
 225                     VIRGINIA-AS                                        JAJ17-ARIN (Tech), ABUSE124-ARIN (Abuse)
 226                     LOS-NETTOS-AS                                      WP8-ARIN (Tech), LNAT-ARIN (Abuse), LH-ORG-ARIN (Tech)
 227                     SHAFTER-AS                                         BETHA2-ARIN (Tech)
 228                     DC-SUN-NET-AS                                      DRB43-ARIN (Tech), LS529-ARIN (Tech)
 229                     MERIT-AS-6                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 230                     MERIT-AS-7                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 231                     MERIT-AS-8                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 232                     MERIT-AS-9                                         NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 233                     MERIT-AS-10                                        NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 234                     BLACKROSE-1                                        DK109-ARIN (Tech)
 235                     MERIT-AS-12                                        NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 236                     MERIT-AS-13                                        NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 237                     MERIT-AS-14                                        NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 238                     MERIT-AS-15                                        NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 239                     UTORONTO-AS                                        LO24-ARIN (Tech), NSTEC-ARIN (Tech), RS2206-ARIN (Tech)
 240                     SAALC-HOSTNET-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 241                     OCALC-HOSTNET-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 242                     SSSD-AS                                            RGH21-ARIN (Tech)
 243                     HARRIS-ATD-AS                                      TS14-ARIN (Tech)
 244                     ITT-FEC-AS                                         RW45-ARIN (Tech)
 245                     PRC-AS                                             SS172-ARIN (Tech)
 246                     ASIFICS-GW-AS                                      SC139-ARIN (Tech)
 247                     ROMENET-AS                                         PV23-ARIN (Tech)
 248-251                 RIPE-ASNBLOCK-248                                  
 252                     CECOM-A-TACT                                       BETHA2-ARIN (Tech)
 253                     NTTA-253                                           VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 254                     TWG-NET-AS                                         DP221-ARIN (Tech)
 255                     PAFB-GW                                            JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 256                     NCSC-NET-AS                                        JD130-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 257                     NPS-GATOR-AS                                       LNS-ARIN (Tech)
 258                     BRAGGSRI-EGP-AS                                    TN5-ARIN (Tech)
 259                     SCUBED-AS                                          SS135-ARIN (Tech)
 260                     DSI-WR-15                                          RPD2-ARIN (Tech)
 261                     RIPE-ASNBLOCK-261                                  
 262-263                 NTTA-262                                           VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 264                     SRINET-AS                                          DP2-ARIN (Tech), LS732-ARIN (Tech)
 265                     DSI-WR-16                                          RPD2-ARIN (Tech)
 267                     NETHER-NET                                         JM568-ARIN (Tech)
 268                     USUHSNET-AS                                        MK124-ARIN (Tech)
 269                     INCSYS-AS                                          JS281-ARIN (Tech)
 270                     PSCNI-AS                                           BH162-ARIN (Tech), NASAA-ARIN (Abuse), RFBJ-ARIN (Tech)
 271                     BCNET-AS                                           DM354-ARIN (Tech), MH1019-ARIN (Tech)
 272                     FTMONMOUTH-ASN                                     BETHA2-ARIN (Tech)
 273                     DARPA-CISCO-AS                                     SC3-ARIN (Tech)
 274                     SOFT-CON-NTS-AS                                    RPD2-ARIN (Tech)
 275                     NTTA-275                                           VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 276                     UTX-AUS                                            WCB3-ARIN (Tech)
 277                     CSC-300-AS277                                      GJH3-ARIN (Tech)
 278                     LACNIC-278                                         LACNIC-ARIN (Tech)
 279                     LVLT-279                                           APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 280                     NTTA-280                                           VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 281                     LVLT-281                                           APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 282                     MERIT-AUX-AS                                       JRJ18-ARIN (Tech)
 284                     UUNET-IPV6                                         ABUSE3-ARIN (Abuse), SWIPP-ARIN (Tech), JHU140-ARIN (Tech)
 285                     AVTROS-AS                                          CAD10-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 286                     RIPE-ASNBLOCK-286                                  
 287                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 288                     RIPE-ASNBLOCK-288                                  
 289                     APGNET-AS                                          BETHA2-ARIN (Tech)
 290                     SHOWNET-AS                                         GHO4-ARIN (Tech), GEV-ARIN (Tech)
 291                     ESNET-EAST                                         MC434-ARIN (Tech), EH1-ARIN (Tech)
 292                     ESNET-WEST                                         MC434-ARIN (Tech), EH1-ARIN (Tech)
 293                     ESNET                                              MC434-ARIN (Tech), EH1-ARIN (Tech)
 294                     RIPE-ASNBLOCK-294                                  
 295                     OSI-GW-AS                                          WLW-ARIN (Tech)
 296                     ACFP-NET-TST-AS                                    JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 297                     NISN-SIP-AS                                        NISN-ARIN (Tech), NASAA-ARIN (Abuse), RFBJ-ARIN (Tech)
 298                     RADC-LONEX-AS                                      JAM38-ARIN (Tech)
 299                     UCINET-AS                                          DM331-ARIN (Tech), NSP5-ARIN (Tech)
 300                     GUNTER-LAN-AS                                      JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 301                     C3PO-AS                                            JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 302                     BCM-INFO-NET-AS                                    AR400-ARIN (Tech), MLA40-ARIN (Tech)
 303                     NPRDC-AS                                           RFS2-ARIN (Tech)
 304                     SRIEXPRIGNET-AS                                    PEM4-ARIN (Tech), LS732-ARIN (Tech)
 305                     WALTER-REED-AS                                     BSA2-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 306-371                 DNIC                                               MIL-HSTMST-ARIN (Tech)
 372                     NSN-AMES-AS                                        NASAA-ARIN (Abuse), ZN7-ARIN (Tech), RFBJ-ARIN (Tech)
 373                     MITRE-AS-4                                         RS1914-ARIN (Tech)
 374                     BROOKS-AS                                          JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 375                     RIPE-ASNBLOCK-375                                  
 376                     RISQ-AS                                            SC166-ORG-ARIN (Tech)
 377                     SNLA-NET-AS                                        TCH2-ARIN (Tech), RA137-ARIN (Tech)
 378                     RIPE-ASNBLOCK-378                                  
 379-508                 AFCONC-BLOCK1-AS                                   JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 509                     WORMS-GW1-AS                                       MIL-HSTMST-ARIN (Tech)
 510                     CSNET-INT-AS                                       JC347-ARIN (Tech)
 511                     NET-TRADING                                        NOC1729-ARIN (Tech)
 512                     NAVDEC-NET1                                        DG163-ARIN (Tech)
 513                     RIPE-ASNBLOCK-513                                  
 514                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 515                     PMS312GATE-ASN                                     DL164-ARIN (Tech)
 516                     KODAK-BTC                                          RM295-ARIN (Tech)
 517                     RIPE-ASNBLOCK-517                                  
 518                     CONCORD-POE-AS                                     SJG2-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 519                     ISCNET                                             MB487-ARIN (Tech)
 520                     COINSDISNET3                                       RLS6-ARIN (Tech)
 521                     FORD-SRL-AS                                        FJB3-ARIN (Tech), ZF4-ARIN (Abuse)
 522                     AFSC-SSD-AS                                        JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 523                     REDSTONE-AS                                        BETHA2-ARIN (Tech)
 524                     LVLT-524                                           APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 525                     WUERZBURG-GW1-AS                                   LT70-ARIN (Tech)
 526                     ASCHAFFENBURG-GW1-AS                               GP129-ARIN (Tech)
 527                     ANSBACH-GW1-AS                                     
 528-529                 RIPE-ASNBLOCK-528                                  
 530                     GEOPPINGEN-GW1-AS                                  PO2-ARIN (Tech)
 531                     GRAFENWOEHR-GW1-AS                                 SD131-ARIN (Tech)
 532                     HEIDELBERG-GW1-AS                                  AH130-ARIN (Tech)
 533                     HEILBRONN-GW1-AS                                   MG205-ARIN (Tech)
 534                     KARLSRUHE-GW1-AS                                   OT5-ARIN (Tech)
 535                     MUNICH-GW1-AS                                      RJ127-ARIN (Tech)
 536                     NUERNBERG-GW1-AS                                   SJ65-ARIN (Tech)
 537                     ULM-GW1-AS                                         CR167-ARIN (Tech)
 538                     SCHWEINFURT-GW1-AS                                 WN4-ARIN (Tech)
 539                     STUTTGART-GW1-AS                                   CJC31-ARIN (Tech)
 540                     RIPE-ASNBLOCK-540                                  
 541                     IGAUTON                                            EL30-ARIN (Tech)
 542                     ARNET                                              ZA28-ARIN (Tech)
 543                     HP-HALO-543                                        HALON-ARIN (Tech), HH15-ORG-ARIN (Tech)
 544                     RIPE-ASNBLOCK-544                                  
 545                     NRI                                                SW1092-ARIN (Tech)
 546                     SPARTA-AS                                          MS1073-ARIN (Tech)
 547                     ASN-IBM-LEX                                        RAIN-ARIN (Tech)
 548                     HQUSAF-AS                                          PBV-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 549                     GTANET-AS                                          CKW4-ARIN (Tech), SYO12-ARIN (Tech)
 550                     CORNETT-AS                                         PCW-ARIN (Tech), REPOR-ARIN (Abuse), PGR1-ARIN (Tech)
 551                     TIS-AS                                             NETSE-ARIN (Tech)
 552                     PATCH-AS                                           DAVID61-ARIN (Tech)
 553                     RIPE-ASNBLOCK-553                                  
 554                     CALINET-AS                                         WP8-ARIN (Tech)
